,CPE1,CPE2,CPE3,CPE4,CPE5,CPE6,CPE7,S1_LVL,S2_LVL,S3_LVL,S4_LVL,CPER2,CPEUN
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.047619048,0.0,0.0,0.0,94.0,31.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.307692308,0.0,0.0,0.0,131.0,41.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.20833333,0.0,0.0,0.0,173.0,51.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.086956522,0.0,0.0,0.0,168.0,62.0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.291666667,0.0,0.0,0.0,196.0,1.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.44,0.12,0.0,205.0,182.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.65,0.6,0.0,0.0,190.0,183.0
61,0.0,0.0,0.0,0.0,9.738142857,0.0,0.0,3.24,0.0,0.0,0.0,184.0,179.0
62,0.0,0.0,0.0,0.383375,9.724052632,0.0,0.0,4.526315789,0.0,0.0,0.0,182.0,178.0
63,0.0,0.0,0.0,0.0,9.724052632,0.0,0.0,4.037037037,0.0,0.0,0.0,180.0,179.0
64,0.0,0.0,0.0,0.0,9.7163,0.0,0.0,3.791666667,0.0,0.0,0.0,7.0,181.0
65,0.0,0.0,0.0,0.0,9.711500000000001,0.0,0.0,3.590909091,0.0,0.0,0.0,181.0,180.0
66,0.0,0.0,0.0,0.0,9.765873684,0.0,0.0,4.964285714,0.0,0.0,0.0,138.0,177.0
67,0.0,0.0,0.0,0.0,9.688199999999998,0.0,0.0,3.391304348,0.0,0.0,0.0,126.0,177.0
68,0.0,0.0,0.0,0.0,9.72965,0.0,0.0,2.5,0.0,0.0,0.0,133.0,179.0
69,0.0,0.0,0.0,0.0,9.750842105,0.0,0.0,2.5,0.0,0.0,0.0,113.0,177.0
70,0.0,0.0,0.0,0.0,9.7743,0.0,0.0,2.76,0.0,0.0,0.0,100.0,177.0
71,0.0,0.0,0.0,0.0,6.702571053,0.0,0.0,2.0,0.0,0.0,0.0,86.0,177.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.962962963,0.0,1.714285714,2.074074074,76.0,200.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.142857143,0.666666667,2.45,69.0,60.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.047619048,7.217391304,0.0,1.47826087,59.0,32.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.62068966,1.962962963,0.0,0.0,59.0,30.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.54166667,0.0,0.0,0.0,59.0,37.0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.81818182,1.590909091,0.0,0.0,1.0,38.0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.64,0.0,0.0,89.0,29.0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52,1.0,0.0,0.0,106.0,28.0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.259259259,0.071428571,0.0,0.0,175.0,31.0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.571428571,0.0,0.0,0.0,208.0,34.0
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.954545455,0.0,0.0,0.0,209.0,7.0
83,0.0,0.0,0.0,1.9975882349999998,0.0,0.0,0.0,2.818181818,0.0,0.0,2.272727273,206.0,241.0
84,0.0,0.0,0.0,3.9951764699999996,0.0,0.0,0.0,12.65,0.0,0.0,0.0,162.0,236.0
85,0.0,0.0,0.0,5.992764705,9.8005,0.0,0.0,1.35,0.0,0.0,0.0,199.0,232.0
